vendor_name,normalized,aggressive_normalized,invoice_count
"WASTE MANAGEMENT, INC.","WASTE MANAGEMENT, INC.",WASTE MANAGEMENT,806
WASTE CONNECTIONS,WASTE CONNECTIONS,WASTE CONNECTIONS,766
REPUBLIC\nSERVICES,REPUBLIC\NSERVICES,REPUBLIC NSERVICES,500
WASTE SYSTEMS,WASTE SYSTEMS,WASTE SYSTEMS,362
Anytime,ANYTIME,ANYTIME,275
ROBINSON,ROBINSON,ROBINSON,214
Robinson Waste,ROBINSON WASTE,ROBINSON WASTE,192
A WASTE CONNECTIONS COMPANY,A WASTE CONNECTIONS COMPANY,A WASTE CONNECTIONS COMPANY,164
"WASTE CONNECTIONS OF TENNESSEE, INC","WASTE CONNECTIONS OF TENNESSEE, INC",WASTE CONNECTIONS OF TENNESSEE,150
"Priority Waste, LLC","PRIORITY WASTE, LLC",PRIORITY WASTE,109
MERIDIAN\nWASTE,MERIDIAN\NWASTE,MERIDIAN NWASTE,108
WASTE CONNECTIONS OF FLORIDA,WASTE CONNECTIONS OF FLORIDA,WASTE CONNECTIONS OF FLORIDA,106
Friedman,FRIEDMAN,FRIEDMAN,96
PSI ENVIRONMENTAL SERVICES INC,PSI ENVIRONMENTAL SERVICES INC,PSI ENVIRONMENTAL SERVICES,96
"Tower Compactor Rentals, LLC","TOWER COMPACTOR RENTALS, LLC",TOWER COMPACTOR RENTALS,92
Fusion Waste and Recycling,FUSION WASTE AND RECYCLING,FUSION WASTE AND RECYCLING,92
Recology,RECOLOGY,RECOLOGY,91
Flood\nBrothers,FLOOD\NBROTHERS,FLOOD NBROTHERS,88
FCC Environmental Services FL,FCC ENVIRONMENTAL SERVICES FL,FCC ENVIRONMENTAL SERVICES FL,85
PRIORITY,PRIORITY,PRIORITY,76
FLOOD BROTHERS DISPOSAL,FLOOD BROTHERS DISPOSAL,FLOOD BROTHERS DISPOSAL,75
"J & J SERVICES, INC.","J & J SERVICES, INC.",J J SERVICES,75
Best Way,BEST WAY,BEST WAY,73
ROCKY RIDGE,ROCKY RIDGE,ROCKY RIDGE,70
PPRIORITY,PPRIORITY,PPRIORITY,68
Hauler Information Best Cleaner Disposal Inc.,HAULER INFORMATION BEST CLEANER DISPOSAL INC.,HAULER INFORMATION BEST CLEANER DISPOSAL,67
"J & J Services, Inc.","J & J SERVICES, INC.",J J SERVICES,64
HDS HOMEWOOD,HDS HOMEWOOD,HDS HOMEWOOD,63
Empire Waste Services,EMPIRE WASTE SERVICES,EMPIRE WASTE SERVICES,63
WASTE CONNECTIONS OF ARIZONA,WASTE CONNECTIONS OF ARIZONA,WASTE CONNECTIONS OF ARIZONA,61
Environmental Services,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,59
RENTALS OF AMERICA,RENTALS OF AMERICA,RENTALS OF AMERICA,57
Coastal\nWaste & Recycling,COASTAL\NWASTE & RECYCLING,COASTAL NWASTE RECYCLING,55
DISPOSAL,DISPOSAL,DISPOSAL,54
Walters,WALTERS,WALTERS,54
CAPITAL WASTE SERVICES,CAPITAL WASTE SERVICES,CAPITAL WASTE SERVICES,53
Fruednab,FRUEDNAB,FRUEDNAB,53
BECKER360,BECKER360,BECKER360,53
"WASTE CONNECTIONS OF TX, LLC","WASTE CONNECTIONS OF TX, LLC",WASTE CONNECTIONS OF TX,52
Lawrence\nWaste\nServices,LAWRENCE\NWASTE\NSERVICES,LAWRENCE NWASTE NSERVICES,50
STANDARD WASTE SERVICE,STANDARD WASTE SERVICE,STANDARD WASTE SERVICE,49
WARE\nDISPOSAL,WARE\NDISPOSAL,WARE NDISPOSAL,48
WASTE CONNECTIONS OF FLORIDA MIAMI HAULING,WASTE CONNECTIONS OF FLORIDA MIAMI HAULING,WASTE CONNECTIONS OF FLORIDA MIAMI HAULING,48
"ECO-TECH, LLC","ECO-TECH, LLC",ECO TECH,45
KIMBLE,KIMBLE,KIMBLE,45
"Detroit Disposal & DISPOSAL Recycling, LLC","DETROIT DISPOSAL & DISPOSAL RECYCLING, LLC",DETROIT DISPOSAL DISPOSAL RECYCLING,44
"Athens Services Waste Collection, Recycling & Disposal Services","ATHENS SERVICES WASTE COLLECTION, RECYCLING & DISPOSAL SERVICES",ATHENS SERVICES WASTE COLLECTION RECYCLING DISPOSAL SERVICES,43
INTERSTATE INTERSTATE IWS WASTE SERVICES,INTERSTATE INTERSTATE IWS WASTE SERVICES,INTERSTATE INTERSTATE IWS WASTE SERVICES,43
WASTE CONNECTIONS OF FLORIDA\nMIAMI HAULING,WASTE CONNECTIONS OF FLORIDA\NMIAMI HAULING,WASTE CONNECTIONS OF FLORIDA NMIAMI HAULING,43
"GROOT, INC.","GROOT, INC.",GROOT,42
WASTE CONNECTIONS OF MISSOURI,WASTE CONNECTIONS OF MISSOURI,WASTE CONNECTIONS OF MISSOURI,41
WASTE CONNECTIONS OF FLORIDA.,WASTE CONNECTIONS OF FLORIDA.,WASTE CONNECTIONS OF FLORIDA,41
Waste Away Dumpster Service LLC,WASTE AWAY DUMPSTER SERVICE LLC,WASTE AWAY DUMPSTER SERVICE,40
"WASTE CONNECTIONS BAYOU, INC","WASTE CONNECTIONS BAYOU, INC",WASTE CONNECTIONS BAYOU,39
Waste Connections of Arizona,WASTE CONNECTIONS OF ARIZONA,WASTE CONNECTIONS OF ARIZONA,39
DELTA WASTE\nSOLUTIONS,DELTA WASTE\NSOLUTIONS,DELTA WASTE NSOLUTIONS,39
"CONTAINER SERVICE, INC.","CONTAINER SERVICE, INC.",CONTAINER SERVICE,38
Pete & Pete,PETE & PETE,PETE PETE,37
Kimble,KIMBLE,KIMBLE,36
"SCOTT WASTE SERVICES, LLC","SCOTT WASTE SERVICES, LLC",SCOTT WASTE SERVICES,36
"Athens Services Waste Collection, Recyclin","ATHENS SERVICES WASTE COLLECTION, RECYCLIN",ATHENS SERVICES WASTE COLLECTION RECYCLIN,34
Wasatch County Solid Waste,WASATCH COUNTY SOLID WASTE,WASATCH COUNTY SOLID WASTE,34
WASTE CONNECTIONS LONE STAR INC,WASTE CONNECTIONS LONE STAR INC,WASTE CONNECTIONS LONE STAR,33
Walters Recycling,WALTERS RECYCLING,WALTERS RECYCLING,33
J.P. Mascaro & Sons,J.P. MASCARO & SONS,J P MASCARO SONS,33
HUNTSVILLE HAULING,HUNTSVILLE HAULING,HUNTSVILLE HAULING,32
MERIDIAN,MERIDIAN,MERIDIAN,32
"£ Athens Services Waste Collection, Recycling & Disposal Services","£ ATHENS SERVICES WASTE COLLECTION, RECYCLING & DISPOSAL SERVICES",ATHENS SERVICES WASTE COLLECTION RECYCLING DISPOSAL SERVICES,32
COASTAL WASTE & RECYCLING - WW,COASTAL WASTE & RECYCLING - WW,COASTAL WASTE RECYCLING WW,32
"Mark Dunning Industries, Inc.","MARK DUNNING INDUSTRIES, INC.",MARK DUNNING INDUSTRIES,31
Stevens Disposal & Recycling Service Inc.,STEVENS DISPOSAL & RECYCLING SERVICE INC.,STEVENS DISPOSAL RECYCLING SERVICE,31
"SANITATION, INC.","SANITATION, INC.",SANITATION,31
Kansas City Hauling,KANSAS CITY HAULING,KANSAS CITY HAULING,31
City of Idaho Falls,CITY OF IDAHO FALLS,CITY OF IDAHO FALLS,31
WASTE CONNECTIONS OF GEORGIA,WASTE CONNECTIONS OF GEORGIA,WASTE CONNECTIONS OF GEORGIA,31
COASTAL WASTE & RECYCLING - SW,COASTAL WASTE & RECYCLING - SW,COASTAL WASTE RECYCLING SW,31
OREGON PAPER FIBER,OREGON PAPER FIBER,OREGON PAPER FIBER,30
"Waste Collection, Recycling & Disposal Services","WASTE COLLECTION, RECYCLING & DISPOSAL SERVICES",WASTE COLLECTION RECYCLING DISPOSAL SERVICES,30
"WASTE CONNECTIONS LONE STAR, INC","WASTE CONNECTIONS LONE STAR, INC",WASTE CONNECTIONS LONE STAR,30
Idaho Falls Utilities,IDAHO FALLS UTILITIES,IDAHO FALLS UTILITIES,30
BEST WAY,BEST WAY,BEST WAY,28
A Waste Connections Company,A WASTE CONNECTIONS COMPANY,A WASTE CONNECTIONS COMPANY,28
ASPEN WASTE SYSTEMS OF MINNESOTA INC.,ASPEN WASTE SYSTEMS OF MINNESOTA INC.,ASPEN WASTE SYSTEMS OF MINNESOTA,27
NITTI,NITTI,NITTI,27
F & L Construction Inc,F & L CONSTRUCTION INC,F L CONSTRUCTION,27
Friedman's,FRIEDMAN'S,FRIEDMAN S,27
LRS of Minnesota,LRS OF MINNESOTA,LRS OF MINNESOTA,26
TEXAS DISPOSAL SYSTEMS,TEXAS DISPOSAL SYSTEMS,TEXAS DISPOSAL SYSTEMS,26
Curbside Roll Off,CURBSIDE ROLL OFF,CURBSIDE ROLL OFF,25
Compactor Rentals,COMPACTOR RENTALS,COMPACTOR RENTALS,25
"WASTE CONNECTIONS OF KENTUCKY, INC","WASTE CONNECTIONS OF KENTUCKY, INC",WASTE CONNECTIONS OF KENTUCKY,24
Granger,GRANGER,GRANGER,24
"MURREYS DISPOSAL COMPANY, INC.","MURREYS DISPOSAL COMPANY, INC.",MURREYS DISPOSAL COMPANY,24
ARROW SANITARY SERVICE,ARROW SANITARY SERVICE,ARROW SANITARY SERVICE,23
Pelican Waste & Debris,PELICAN WASTE & DEBRIS,PELICAN WASTE DEBRIS,23
Wasatch County,WASATCH COUNTY,WASATCH COUNTY,23
EL PASO DISPOSAL A WASTE CONNECTIONS COMPANY,EL PASO DISPOSAL A WASTE CONNECTIONS COMPANY,EL PASO DISPOSAL A WASTE CONNECTIONS COMPANY,23
EL PASO DISPOSAL\nA WASTE CONNECTIONS COMPANY,EL PASO DISPOSAL\NA WASTE CONNECTIONS COMPANY,EL PASO DISPOSAL NA WASTE CONNECTIONS COMPANY,23
Dick's Sanitation Inc.,DICK'S SANITATION INC.,DICK S SANITATION,22
LEXINGTON,LEXINGTON,LEXINGTON,22
Pelican,PELICAN,PELICAN,22
E.O.M.S RECYCLING INC.,E.O.M.S RECYCLING INC.,E O M S RECYCLING,22
ROBINSON Waste Services,ROBINSON WASTE SERVICES,ROBINSON WASTE SERVICES,22
JP Mascaro,JP MASCARO,JP MASCARO,22
OREGON PAPER FIBER A WASTE CONNECTIONS COMPANY,OREGON PAPER FIBER A WASTE CONNECTIONS COMPANY,OREGON PAPER FIBER A WASTE CONNECTIONS COMPANY,21
Mascaro & Sons,MASCARO & SONS,MASCARO SONS,21
TIGER,TIGER,TIGER,21
ROBINSON Waste,ROBINSON WASTE,ROBINSON WASTE,21
ATLAS,ATLAS,ATLAS,21
Important Message,IMPORTANT MESSAGE,IMPORTANT MESSAGE,21
QUEEN CITY DISPOSAL,QUEEN CITY DISPOSAL,QUEEN CITY DISPOSAL,20
QUEEN CITY DISPOSAL A WASTE CONNECTIONS COMPANY,QUEEN CITY DISPOSAL A WASTE CONNECTIONS COMPANY,QUEEN CITY DISPOSAL A WASTE CONNECTIONS COMPANY,20
HARTER'S,HARTER'S,HARTER S,20
"MURREYS DISPOSAL COMPANY, INC","MURREYS DISPOSAL COMPANY, INC",MURREYS DISPOSAL COMPANY,20
Wasatch,WASATCH,WASATCH,20
ALL WASTE\nINC,ALL WASTE\NINC,ALL WASTE NINC,20
RESOURCES LLC,RESOURCES LLC,RESOURCES,19
"DICKS SANITATION SERVICE, INC.","DICKS SANITATION SERVICE, INC.",DICKS SANITATION SERVICE,19
800-GOT-JUNK?,800-GOT-JUNK?,800 GOT JUNK,19
NOBLE\nENVIRONMENTAL,NOBLE\NENVIRONMENTAL,NOBLE NENVIRONMENTAL,19
"WASTE CONNECTIONS OF SOUTH CAROLINA, INC","WASTE CONNECTIONS OF SOUTH CAROLINA, INC",WASTE CONNECTIONS OF SOUTH CAROLINA,19
PAPILLION SANITATION,PAPILLION SANITATION,PAPILLION SANITATION,19
Community Waste Disposal,COMMUNITY WASTE DISPOSAL,COMMUNITY WASTE DISPOSAL,19
"HARDIN SANITATION, INC","HARDIN SANITATION, INC",HARDIN SANITATION,19
IDAHO FALLS,IDAHO FALLS,IDAHO FALLS,19
Bestway,BESTWAY,BESTWAY,18
Harter's,HARTER'S,HARTER S,18
"Athens Services Waste Collection, Recycling & Dis","ATHENS SERVICES WASTE COLLECTION, RECYCLING & DIS",ATHENS SERVICES WASTE COLLECTION RECYCLING DIS,18
Anytme,ANYTME,ANYTME,18
El Paso Disposal,EL PASO DISPOSAL,EL PASO DISPOSAL,18
Blue Hills,BLUE HILLS,BLUE HILLS,18
AAA DISPOSAL SERVICE,AAA DISPOSAL SERVICE,AAA DISPOSAL SERVICE,18
"BAY DISPOSAL, LLC","BAY DISPOSAL, LLC",BAY DISPOSAL,18
Best Way Disposal,BEST WAY DISPOSAL,BEST WAY DISPOSAL,17
MERIDIAN WASTE - AL,MERIDIAN WASTE - AL,MERIDIAN WASTE AL,17
PATRIOT\nDISPOSAL,PATRIOT\NDISPOSAL,PATRIOT NDISPOSAL,17
"WASTE CONNECTIONS OF COLORADO, INC","WASTE CONNECTIONS OF COLORADO, INC",WASTE CONNECTIONS OF COLORADO,17
Conex Recycling Corporation,CONEX RECYCLING CORPORATION,CONEX RECYCLING CORPORATION,17
"RAM WASTE SYSTEMS, INC","RAM WASTE SYSTEMS, INC",RAM WASTE SYSTEMS,17
Western Disposal,WESTERN DISPOSAL,WESTERN DISPOSAL,17
"YAKIMA WASTE SYSTEMS, INC.","YAKIMA WASTE SYSTEMS, INC.",YAKIMA WASTE SYSTEMS,17
KIEFFER SANITATION A WASTE CONNECTIONS COMPANY,KIEFFER SANITATION A WASTE CONNECTIONS COMPANY,KIEFFER SANITATION A WASTE CONNECTIONS COMPANY,17
ABC WASTE,ABC WASTE,ABC WASTE,17
NEXUS\nDISPOSAL,NEXUS\NDISPOSAL,NEXUS NDISPOSAL,17
121 Disposal,121 DISPOSAL,121 DISPOSAL,16
Curbside Inc,CURBSIDE INC,CURBSIDE,16
PELICAN WASTE & DEBRIS LLC,PELICAN WASTE & DEBRIS LLC,PELICAN WASTE DEBRIS,16
Grainger,GRAINGER,GRAINGER,16
DETROIT,DETROIT,DETROIT,16
"WASTE CONNECTIONS OF OKLAHOMA, INC","WASTE CONNECTIONS OF OKLAHOMA, INC",WASTE CONNECTIONS OF OKLAHOMA,16
"Athens Services Waste Collection, Recy","ATHENS SERVICES WASTE COLLECTION, RECY",ATHENS SERVICES WASTE COLLECTION RECY,16
GARBAGE & RECYCLING,GARBAGE & RECYCLING,GARBAGE RECYCLING,16
FRONTIER WASTE - SOUTH SAN ANTONIO,FRONTIER WASTE - SOUTH SAN ANTONIO,FRONTIER WASTE SOUTH SAN ANTONIO,16
Advance Machine,ADVANCE MACHINE,ADVANCE MACHINE,16
WASTE CONNECTIONS BAYOU INC,WASTE CONNECTIONS BAYOU INC,WASTE CONNECTIONS BAYOU,16
Waste & Debris,WASTE & DEBRIS,WASTE DEBRIS,15
WASTE CONNECTIONS OF NORTH CAROLINA,WASTE CONNECTIONS OF NORTH CAROLINA,WASTE CONNECTIONS OF NORTH CAROLINA,15
Athen Services,ATHEN SERVICES,ATHEN SERVICES,15
FRONTIER WASTE - NORTH AUSTIN,FRONTIER WASTE - NORTH AUSTIN,FRONTIER WASTE NORTH AUSTIN,15
EDCO WASTE & RECYCLING SERVICE,EDCO WASTE & RECYCLING SERVICE,EDCO WASTE RECYCLING SERVICE,15
UTILITIES,UTILITIES,UTILITIES,15
Live Oak Silsbee,LIVE OAK SILSBEE,LIVE OAK SILSBEE,15
NOVAK SANITARY SERVICE,NOVAK SANITARY SERVICE,NOVAK SANITARY SERVICE,15
City of Tucson,CITY OF TUCSON,CITY OF TUCSON,15
Hauler Information,HAULER INFORMATION,HAULER INFORMATION,15
Royal Document,ROYAL DOCUMENT,ROYAL DOCUMENT,15
CR&R INCORPORATED,CR&R INCORPORATED,CR R INCORPORATED,14
AMERICAN DISPOSAL,AMERICAN DISPOSAL,AMERICAN DISPOSAL,14
LEXINGTON-Fayette,LEXINGTON-FAYETTE,LEXINGTON FAYETTE,14
"Roll-Off & Recycling, Inc.","ROLL-OFF & RECYCLING, INC.",ROLL OFF RECYCLING,14
CRI Curbside Roll Off Inc,CRI CURBSIDE ROLL OFF INC,CRI CURBSIDE ROLL OFF,14
Aces Disposal Services,ACES DISPOSAL SERVICES,ACES DISPOSAL SERVICES,14
"ACE SOLID WASTE, INC","ACE SOLID WASTE, INC",ACE SOLID WASTE,14
