location_name,vendor_name
0250 - Bellevue,1-800-GOT-JUNK National
141 - Noblesville,1-800-GOT-JUNK National
177 - LaGrange,1-800-GOT-JUNK National
4137 - Stratford Executive Park,1-800-GOT-JUNK National
5000984-01-01 - JUSTIN ROANOKE SARATOGA TROPH,1-800-GOT-JUNK National
5006465-01-01 - Mission Sp Mt Rubidoux Grand,1-800-GOT-JUNK National
"5010906-01-01 - COLLEGE PARK, LAKE CREEK, MAG",1-800-GOT-JUNK National
5185580-01-01 - BURLINGTON-1,1-800-GOT-JUNK National
5200679-01-01 - Eucalyptus Grand Mandarin,1-800-GOT-JUNK National
"5241952-01-01 - KENSINGTON, NORTHRIDGE, SOMER",1-800-GOT-JUNK National
5353106-01-01 - 24 Dugway,1-800-GOT-JUNK National
5392152-01-01 - Altisima,1-800-GOT-JUNK National
6012204,1-800-GOT-JUNK National
6549 St. Louis - Lindell Blvd,1-800-GOT-JUNK National
9147 West Sacramento-AM-Retail,1-800-GOT-JUNK National
9AAE104092 Cary NC,1-800-GOT-JUNK National
AZ3-121-Thunderbird Rd,1-800-GOT-JUNK National
AZTLL - 407 S 107th Ave,1-800-GOT-JUNK National
Bothell - 21919 20th Ave SE,1-800-GOT-JUNK National
C-661 Norwood Young America MN,1-800-GOT-JUNK National
EOS Fitness - Tampa FL,1-800-GOT-JUNK National
FL7-400-59th,1-800-GOT-JUNK National
FL8-266-Parkway,1-800-GOT-JUNK National
FLPAN - 3205 Minnesota Ave,1-800-GOT-JUNK National
GA7-125-Dunwoody,1-800-GOT-JUNK National
GA7-280-Buford Highway,1-800-GOT-JUNK National
GA7-288-Emory Village,1-800-GOT-JUNK National
GA8-046-Epps Bridge Parkway,1-800-GOT-JUNK National
GEA – 400 S Wuthering Hills,1-800-GOT-JUNK National
INCOL - 984 S Marr Rd,1-800-GOT-JUNK National
KYVLE3 - 1860 Outer Loop,1-800-GOT-JUNK National
KYWBS - 6714 Grade Ln,1-800-GOT-JUNK National
MGPO 756100-36 - Building 62,1-800-GOT-JUNK National
MI8-447-Ford - Telegraph,1-800-GOT-JUNK National
MNMIN - 3312 Broadway St NE,1-800-GOT-JUNK National
MSJAC - 605 E McDowell Rd,1-800-GOT-JUNK National
OHCHI - 1536 N Bridge St,1-800-GOT-JUNK National
PA7-295-Rising Sun Ave,1-800-GOT-JUNK National
Pima Rd - Scottsdale AZ (F),1-800-GOT-JUNK National
RGB001093  INGLEWOOD SOUTH,1-800-GOT-JUNK National
RGB001436  CHAPMAN HWY,1-800-GOT-JUNK National
SCCHA - 4230 Piggly Wiggly Dr,1-800-GOT-JUNK National
SCLON - 8410 Water Tower Rd,1-800-GOT-JUNK National
SCSPA - 4000 Howard St,1-800-GOT-JUNK National
"Sheraton LBV - Marriott - Orlando, FL",1-800-GOT-JUNK National
STAYAPT - ROCK HILL - PANTHERS FACILITY,1-800-GOT-JUNK National
Store 099/015 - Hanover Twp,1-800-GOT-JUNK National
Store 117 - Camby,1-800-GOT-JUNK National
Store 259 - Manassas,1-800-GOT-JUNK National
TX5-275-Conroe (New),1-800-GOT-JUNK National
TX5-751-Lakewood Forest,1-800-GOT-JUNK National
TXALG - 2320 E Bardin Rd,1-800-GOT-JUNK National
TXDEN - 1709 Shady Oaks Dr,1-800-GOT-JUNK National
5365 - Mountain Brook Village,121 Disposal Company
9AAE104782 Pelham AL,121 Disposal Company
RGB001531  CE RIVERCHASE OP CENTER,121 Disposal Company
RGB001619  CE REGIONS CENTER,121 Disposal Company
Woodinville - 15100 Woodinville Redmond Rd,3R Technology
ILHOD - 1 UPS Way,48Forty Solutions
ORD4 - 4513 Western Ave,48Forty Solutions
CACPT - 1430 N McKinley Ave,"4th Generation Recycling, Inc."
RGB000372  CLINTON AR MAIN,501 Sanitation & Roll-Offs LLC.
MD5-032-Hunt Valley Ctr II and Atrium,86 Dumpster
"BCI - SOUTHERN TIRE MART - MERCEDES, TX",A Clean Portaco
5919414-02-01 - Havana-1,"A Team Disposal, LLC"
NJBOU - 6W Chimney Rock Road,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
NJSAD - 280 Midland Ave,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
NJTIN - 750 Hope Rd,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
NJVIN - 3731 N Mill Rd,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
NJTIN - 750 Hope Rd,A&A TRUCK PARTS INC
MIGAY - 1640 Dickerson Rd,A&L Iron Metal
ALHUN - 113 Winchester Rd NW,"A&S Metals, Inc"
WIGRE - 2412 Hutson Rd,"A&W Iron & Metal, Inc"
MOAPP - 700 N Hickory St,A1 Disposal
SSL-1SY Salt Lake City,A1 Disposal
UTSKT - 955 S 3800 W,A1 DISPOSAL-UTAH
156 - Lowell,A1 Little John Inc
DQ TJK-43812 JACKSON-F,"A1 Waste, LLC"
GAGLK - 35 Glenlake Pkwy NE,"A1 Waste, LLC"
TNJAC - 46 College Park Cove,"A1 Waste, LLC"
CARIV - Conveyor Recycling,AAA Recycling
CAWTN - 1867 Western Way,AAA Rubbish Inc
4146 Carlyle - 12 & Mulliken DU,AAA Trash Service
5150590-01-01 - BLUE SPRINGS 1 2,AAA Trash Service
5333865-01-01 - Kearney Crooked Rvr Fishing R,AAA Trash Service
Store 029 - Selinsgrove,"AB-8 Waste Solutions, LLC"
Store 099/015 - Hanover Twp,"AB-8 Waste Solutions, LLC"
3638 Cedar Rapids - Vernon Village,ABC Disposal Systems
3689 Iowa City - Southwest,ABC Disposal Systems
IACOR - 2401 James St,ABC Disposal Systems
Store 039 - Cedar Rapids,ABC Disposal Systems
ARHOT - 807 Mid America Blvd,"ABC Salvage & Metal, Inc"
ARPIN - 5 Constitution Cove,"ABC Salvage & Metal, Inc"
GOODWILL - SEGA - EISENHOWER,ABC Waste Of Savannah
GOODWILL - SEGA - MIDDLEGROUND,ABC Waste Of Savannah
GOODWILL - SEGA - POOLER,ABC Waste Of Savannah
TFF-POR,Abrams Scrap Metals
5251397-01-01 - RED ROCK,ABS Sanitation
5115779-01-01 - MASON CITY,ABSOLUTE WASTE REMOVAL
DQ MC-11679 MASON CITY,ABSOLUTE WASTE REMOVAL
IAMAS - 1721 S Garfield Pl,ABSOLUTE WASTE REMOVAL
USIACL01 - Clear Lake,ABSOLUTE WASTE REMOVAL
TXCOR - Corpus Christi,Absolute Waste Services
LALFT - 100 John Glenn Dr,"Acadiana Waste Services, LLC"
HJI - FERN VALLEY,Accent Wire-Tie
CARVE - 20801 Krameria Ave,Ace Equipment Company
ILBED - 6700 W 73rd Street,"Ace Iron & Metals, Inc"
ILJOL - 1817 Moen Avenue,"Ace Iron & Metals, Inc"
INHAM - 3147 169th Pl,"Ace Iron & Metals, Inc"
1423 Riverton - Mountain View,ACE RECYCLING AND DISPOSAL
"5000224-01-01 - HOYTSVILLE 1, WANSHIP",ACE RECYCLING AND DISPOSAL
5000374-01-01 - Spanish Fork UT Maple Mountai,ACE RECYCLING AND DISPOSAL
"5000402-01-01 - HENEFER 1, 2",ACE RECYCLING AND DISPOSAL
5000619-01-01 - Saratoga Fm Group G,ACE RECYCLING AND DISPOSAL
5000627-01-01 - Lehi Building #26,ACE RECYCLING AND DISPOSAL
"5000680-01-01 - WEST POINT 3, 6, 13",ACE RECYCLING AND DISPOSAL
"5000844-02-01 - ALPINE VIEW, JUNIPER CREST, P",ACE RECYCLING AND DISPOSAL
5000867-01-03 - Provo UT South FM Group-IFM O,ACE RECYCLING AND DISPOSAL
"5002177-01-01 - Parkway 3, 6 Sp, 9",ACE RECYCLING AND DISPOSAL
TFF-AUR,1-800-Got-Junk
TFF-PAL,1-800-Got-Junk
0130 - Memphis Main,1-800-GOT-JUNK National
149 - Bloomington,1-800-GOT-JUNK National
2607 - Charlotte,1-800-GOT-JUNK National
4137 Belleville - East,1-800-GOT-JUNK National
5004578-02-01 - Artesia Campus,1-800-GOT-JUNK National
5026075-01-01 - American Lake Lakewood,1-800-GOT-JUNK National
5027071-01-01 - Aurora 2 Naperville IL 1 Whea,1-800-GOT-JUNK National
5027209-01-01 - OTTAWA-1,1-800-GOT-JUNK National
5027616-01-01 - Dumas Bay Sp Redondo Campus,1-800-GOT-JUNK National
5027632-01-01 - Brookdale Campus,1-800-GOT-JUNK National
"5065933-03-02 - YSA Pioneer Stake, YSA Bonnev",1-800-GOT-JUNK National
5072220-01-01 - Waialua,1-800-GOT-JUNK National
5145961-01-01 - Blue Mills Hill Park Independ,1-800-GOT-JUNK National
"5148820-01-02 - Orem YSA, 17, 19, 21, 23, 26,",1-800-GOT-JUNK National
5186382-01-01 - Houston TX Storehouse,1-800-GOT-JUNK National
5193397-01-01 - Hylebos Jovita Creek,1-800-GOT-JUNK National
5267757-01-01 - Bixby Sapulpa Jenks,1-800-GOT-JUNK National
5393396-02-01 - Kentwood,1-800-GOT-JUNK National
5452694-01-01 - Lake Hood Campus,1-800-GOT-JUNK National
6591 Earth City - 3180 Rider Trail,1-800-GOT-JUNK National
AOC HQ - 1 Coca Cola Plz NW,1-800-GOT-JUNK National
AZEME - 2850 S Roosevelt St,1-800-GOT-JUNK National
BENIHANA #1057 - CHANDLER,1-800-GOT-JUNK National
Bldg 4 - 190 River Oaks Way,1-800-GOT-JUNK National
BWH 756100-11 - Southern Jamaica Plain HC,1-800-GOT-JUNK National
CAOAL - 5300 Live Oak Ave,1-800-GOT-JUNK National
CAVEN - 2559 Palma Dr,1-800-GOT-JUNK National
CRH - Pflugerville TX,1-800-GOT-JUNK National
FL8-008-San Jose Branch,1-800-GOT-JUNK National
FLDEE - 1332 NW 3rd St,1-800-GOT-JUNK National
FLMEL - 2730 Kirby Cir NE,1-800-GOT-JUNK National
GA8-625-Oakwood (BS),1-800-GOT-JUNK National
ILRFL - 1101 Industrial Park Rd,1-800-GOT-JUNK National
INVER - 205 N Gaslight Dr,1-800-GOT-JUNK National
LEX MBO - 205 Alewife Brook Pkwy,1-800-GOT-JUNK National
MGBIC 756100-66 - 1285 Beacon St,1-800-GOT-JUNK National
NCWCH - 1815 W Pointe Dr,1-800-GOT-JUNK National
OH0B Geneva,1-800-GOT-JUNK National
