messy_vendor,matched_vendor,score,method,counterparty,location
MERIDIAN WASTE,MERIDIAN WASTE,100.0,global,017640 - SOMERVILLE,
REPUBLIC SERVICES,Republic Services,100.0,constrained,177 - LaGrange,177 - LaGrange
WASTE PRO,Waste Pro,100.0,global,MCKMS001 - Olive Branch MS (NRDC),MCKMS001 - Olive Branch MS (NRDC)
Troiano Waste Services Inc.,"Troiano Waste Services, Inc",100.0,global,ME1-149-Portland,
Lift Waste & Recycling,LIFT WASTE & RECYCLING,100.0,constrained,Q NBU-45421 BURLINGTON,DQ NBU-45421 BURLINGTON
DELTA WASTE SOLUTIONS,"Delta Waste Solutions, LLC",91.30434782608697,constrained,RGB000520 NORTHPARK MALL,RGB000520  NORTHPARK MALL
Prestige Disposal,Prestige Disposal,100.0,constrained,178 - Pittston Plant,178 - Pittston Plant
Jay Mecham's Country Garbage,Jay Mecham's Country Garbage,100.0,constrained,5151910-01-01 - EUREKA-2,5151910-01-01 - EUREKA-2
Eagle Rock Sanitation,EAGLE ROCK SANITATION,100.0,constrained,"5179106-01-01 - Ammon 5, 8, 25","5179106-01-01 - Ammon 5, 8, 25"
Flood Brothers,Flood Brothers,100.0,constrained,Chicago Graceland Carrier,161519 - CHICAGO GRACELAND CARRIER ANX
WASTEWISE METHOW,WasteWise Methow,100.0,global,LDS CHURCH,
WASTE SYSTEMS,ANYTIME WASTE SYSTEMS,76.47058823529412,constrained,MORRIS INVESTMENTS - LOUISVILLE,MORRIS INVESTMENTS - LOUISVILLE
Walker Lake Disposal,"WALKER LAKE DISPOSAL, INC",90.9090909090909,global,NVRNO - RENO HUB,
Smarttrash,SmartTrash,100.0,global,PAWLG,
CAPITAL WASTE SERVICES,Coastal Waste Services,90.9090909090909,global,SCCAE,
TRASH CONTROL,"TRASH CONTROL, INC",86.66666666666667,global,SCLAN,
WASTE CONNECTIONS OF MISSOURI,Waste Connections - Missouri 6091,86.66666666666667,global,South Lindbergh Boulevard,
"Okon Metals, Inc.",Okon Metals,84.61538461538461,constrained,TXFOR - 13700 Independence Pkwy,TXFOR - 13700 Independence Pkwy
Evergreen Paper Recycling,Evergreen Paper Recycling,100.0,constrained,TXRTH - 1400 Intermodal Pkwy,TXRTH - 1400 Intermodal Pkwy
Mosdell Sanitation Inc,MOSDELL SANITATION,90.0,constrained,UTCED - 963 N Main St,UTCED - 963 N Main St
STANDARD WASTE SERVICE,STANDARD WASTE SERVICES,97.77777777777777,global,.NJSBR,
"Priority Waste, LLC",Priority Waste MI,85.71428571428572,global,000010 - Mt Morris PO,
Styro Recycle LLC,STYRO RECYCLE LLC,100.0,constrained,001206-001 - 22010 SE 51ST ST,001206-001 - 22010 SE 51ST ST
"Tower Compactor Rentals, LLC",TOWER COMPACTOR RENTAL,89.79591836734694,global,001412-001 - 2501 N Barrington RD,001412-001 - 2501 N Barrington RD
Ace Equipment Company,Ace Equipment Company,100.0,constrained,001412-001 - 2501 N Barrington RD,001412-001 - 2501 N Barrington RD
WASTE CONNECTIONS,Waste Connections - MS,91.89189189189189,global,001412-001 - 2501 N Barrington RD,001412-001 - 2501 N Barrington RD
"National Equipment Solutions, LP","National Equipment Solutions, LP",100.0,global,001413-001 - 810 Innovation DR,001413-001 - 810 Innovation DR
"WASTE CONNECTIONS OF TENNESSEE, INC",Waste Connections of Tennessee - Knoxville,86.48648648648648,constrained,001413-001 - 810 Innovation DR,001413-001 - 810 Innovation DR
Liberty Waste Solutions,Liberty Waste Solutions,100.0,constrained,001416-001 - 110 MacAlyson CRT,001416-001 - 110 MacAlyson CRT
GFL ENVIRONMENTAL,GFL Environmental,100.0,global,001421-001 - 203 Dunavant DR,001421-001 - 203 Dunavant DR
GFL,GFL,100.0,constrained,001422-001 - 207 Dunavant DR,001422-001 - 207 Dunavant DR
Five Star Waste Div,Five Star Waste,88.23529411764706,constrained,001423-001 - 3100 Stock Creek BLVD,001423-001 - 3100 Stock Creek BLVD
CompostNow Inc.,CompostNow Inc.,100.0,constrained,001434-001 - 221 Gregson Dr,001434-001 - 221 Gregson DR
E.L. HARVEY & SONS INC.,"E.L. Harvey & Sons, Inc.",100.0,global,001450-001 - 333 Coney ST,001450-001 - 333 Coney ST
waste & recycling,Troupe Waste & Recycling,81.08108108108108,constrained,001450-001 - 333 Coney ST,001450-001 - 333 Coney ST
Waste Connections - E.L. Harvey & Sons Inc.,Waste Connections - E.L. Harvey & Sons Inc.,100.0,constrained,001450-001 - 333 Coney ST,001450-001 - 333 Coney ST
CRP Sanitation,CRP Sanitation Inc,87.5,constrained,001453-001 - 511 Benedict AVE,001453-001 - 511 Benedict AVE
"CRP Sanitation, Inc.",CRP Sanitation Inc,100.0,constrained,001453-001 - 511 Benedict AVE,001453-001 - 511 Benedict AVE
GRP SANITATION,CRP Sanitation Inc,81.25,constrained,001453-001 - 511 Benedict AVE,001453-001 - 511 Benedict AVE
