vendor,priorCount,currentCount,pct
Unmatched,1802,1802,100.0
ANYTIME WASTE SYSTEMS,899,954,106.1
Republic Services,396,269,67.9
Rumpke,395,450,113.9
Waste Management - National,336,371,110.4
GFL Environmental,293,361,123.2
UNIVERSAL WASTE SYSTEMS,285,344,120.7
"COCKEY'S ENTERPRISES, INC",222,247,111.3
GFL,216,224,103.7
Robinson Waste Services-Utah,209,195,93.3
Boren Brothers LLC,181,162,89.5
MERIDIAN WASTE,173,173,100.0
Waste Pro,156,153,98.1
"Hamilton Alliance, Inc",149,155,104.0
Active Waste Solutions,127,86,67.7
STANDARD WASTE SERVICES,121,106,87.6
Waste Connections - Tennessee 6010,106,37,34.9
Flood Brothers,95,94,98.9
Coastal Waste & Recycling,94,87,92.6
Best Cleaner Disposal,92,75,81.5
FCC Environmental Services,89,94,105.6
Navajo Sanitation Inc.,87,47,54.0
Fusion Waste,85,112,131.8
Republic Services #620,85,91,107.1
CASELLA WASTE SYSTEMS,83,91,109.6
Friedman's Recycling,82,94,114.6
LRS,81,48,59.3
"Ware Disposal, Inc",73,72,98.6
"Aspen Waste Systems of Missouri, Inc",71,89,125.4
Waste Connections - PSI Environmental Services,69,62,89.9
Priority Waste IN,64,3,4.7
Priority Waste MI,63,8,12.7
Waste Connections - Arizona 3300,62,74,119.4
Liberty Waste Solutions,60,71,118.3
Waste Connections - J&J Services,59,41,69.5
SmartTrash,58,67,115.5
CR&R Inc Environmental Services,57,49,86.0
Wasteology,55,76,138.2
Homewood Disposal Service,52,54,103.8
Athens Services,51,53,103.9
CRI-Curbside Rolloff Inc,47,30,63.8
GFL Environmental - Detroit,46,58,126.1
Wasatch County Solid Waste Disposal,46,22,47.8
Frontier Waste,45,49,108.9
"Smash Franchise Partners, LLC",45,23,51.1
Kimble Companies,45,22,48.9
LAWRENCE WASTE SERVICES CORP,43,40,93.0
"Pete & Pete Container Service, Inc",43,16,37.2
EAGLE DISPOSAL,42,40,95.2
USA Waste & Recycling,41,51,124.4
Waste Connections - Tennessee 6032,41,39,95.1
"Walter's Recycling & Refuse, Inc.",41,43,104.9
"Burrtec Waste Industries, Inc",38,7,18.4
LAKESHORE RECYCLING SYSTEMS,38,20,52.6
J.P. Mascaro,38,41,107.9
Rocky Ridge Waste Solutions,37,53,143.2
Harter's Fox Valley Disposal,37,41,110.8
ACE WASTE SYSTEMS,34,18,52.9
Waste Connections - Groot Industries,33,27,81.8
"NITTI SANITATION, INC",33,45,136.4
MDI - Mark Dunning Industries Inc,32,30,93.8
WIN WASTE INNOVATIONS,32,39,121.9
KMG HAULING INC,32,31,96.9
Lightning Disposal Inc,31,29,93.5
All Waste Inc,29,23,79.3
Texas Disposal,29,15,51.7
"METALPRO, INC",28,45,160.7
Waste Services,27,20,74.1
Nexus Disposal,27,2,7.4
Idaho Falls Utilities - City of Idaho Falls,26,29,111.5
"LAS VEGAS RECYCLING, INC",26,21,80.8
Detroit Disposal,26,29,111.5
Waste Connections - E.L. Harvey & Sons Inc.,25,27,108.0
Waste Connections - J&J Services 6036,25,32,128.0
Waste Connections - Lone Star 5150,25,22,88.0
GHW Waste Services,25,20,80.0
Interstate Waste Services,24,30,125.0
"Renewable Resources, LLC",24,14,58.3
"All American Waste, LLC",24,28,116.7
Waste Connections - Scott Waste Services 6052,24,16,66.7
Burrtec Waste-Jurupa Valley-Riverside,24,1,4.2
Becker 360,23,18,78.3
ANKENY SANITATION,23,25,108.7
Aspen Waste Systems Inc,22,26,118.2
MOORE COAL,22,20,90.9
Heavenly Trash,22,12,54.5
INDEPENDENT RECYCLING SERVICES,22,21,95.5
CAPITAL WASTE SERVICES - CWS SC,21,21,100.0
"Best Way - Burlington, KY",21,16,76.2
RECOLOGY-KING COUNTY-WASHINGTON,21,15,71.4
Casella - National,21,21,100.0
"Waste Connections - RAM Waste Systems, Inc",20,12,60.0
"Zarc Recycling, LLC",20,7,35.0
Community Disposal Service,20,17,85.0
GRANGER WASTE SERVICES,20,23,115.0
Waste Connections - Missouri 6090,20,13,65.0
"Troiano Waste Services, Inc",20,24,120.0
Direct Waste Services,19,22,115.8
Live Oak Environmental LLC,19,19,100.0
Valley Vista Services,19,18,94.7
"West Central Sanitation, Inc",18,16,88.9
"Waste Connections - Dick's/Lakeville Sanitation, Inc",18,16,88.9
Republic Services #902,18,10,55.6
"Corporate Services Consultants, LLC",18,16,88.9
ACE RECYCLING AND DISPOSAL,17,19,111.8
Apex Waste,17,14,82.4
Frontier Waste - San Antonio,17,16,94.1
Waste Connections - Queen City Disposal 6034,17,1,5.9
Waste Pro - Atlanta 202,17,13,76.5
Houston Waste Services - FCC Environmental,17,14,82.4
Louisiana Waste Systems,17,21,123.5
Noble Environmental,17,17,100.0
"RDT, Inc.",17,17,100.0
Stericycle,17,18,105.9
Waste Connections - Papillion Sanitation 3050,17,14,82.4
Waste Connections - Miami Hauling 6440,17,43,252.9
Waste Connections - Bayou 6135,17,19,111.8
Waste Connections - Arrow Sanitary Service,17,22,129.4
Waste Connections - Pinellas 6416,17,9,52.9
Waste Connections - Tennessee 6061,16,16,100.0
TIGER SANITATION,16,19,118.8
South Shore Disposal,16,8,50.0
