vendor,month,count
1-800-GOT-JUNK National,Jan,17
1-800-GOT-JUNK National,Feb,17
1-800-GOT-JUNK National,Mar,16
1-800-GOT-JUNK National,Apr,10
1-800-GOT-JUNK National,May,8
1-800-GOT-JUNK National,Jun,9
1-800-GOT-JUNK National,Jul,8
1-800-GOT-JUNK National,Aug,11
1-800-GOT-JUNK National,Sep,7
1-800-GOT-JUNK National,Oct,10
1-800-GOT-JUNK National,Nov,2
1-800-GOT-JUNK National,Dec,10
1-800-Got-Junk,Jan,1
1-800-Got-Junk,Apr,4
1-800-Got-Junk,May,1
1-800-Got-Junk,Jun,1
121 Disposal Company,Jan,1
121 Disposal Company,Feb,1
121 Disposal Company,Mar,12
121 Disposal Company,Apr,11
121 Disposal Company,May,4
121 Disposal Company,Jun,16
121 Disposal Company,Jul,12
121 Disposal Company,Aug,9
121 Disposal Company,Sep,15
121 Disposal Company,Oct,10
121 Disposal Company,Nov,15
121 Disposal Company,Dec,16
12th & Haskell Recycle Center,Jan,1
12th & Haskell Recycle Center,Mar,1
3R Technology,Jan,11
3R Technology,Feb,7
3R Technology,Mar,2
3R Technology,Apr,5
3R Technology,May,4
3R Technology,Jun,5
3R Technology,Jul,2
3R Technology,Aug,2
3R Technology,Sep,8
3R Technology,Oct,8
3R Technology,Nov,10
3R Technology,Dec,4
4G Futures,Jan,7
4G Futures,Feb,6
4G Futures,Mar,5
4G Futures,Apr,6
4G Futures,May,6
4G Futures,Jun,6
4G Futures,Sep,6
4G Futures,Oct,6
4G Futures,Nov,6
4G Futures,Dec,6
501 Sanitation & Roll-Offs LLC.,Sep,1
501 Sanitation & Roll-Offs LLC.,Dec,3
"A Team Disposal, LLC",Mar,1
"A Team Disposal, LLC",Apr,1
"A Team Disposal, LLC",May,1
"A Team Disposal, LLC",Jun,1
"A Team Disposal, LLC",Jul,1
"A Team Disposal, LLC",Sep,1
"A Team Disposal, LLC",Oct,1
"A Team Disposal, LLC",Nov,1
"A Team Disposal, LLC",Dec,1
A&C Waste Collection,Jan,2
A&C Waste Collection,Feb,1
A&C Waste Collection,Apr,1
A&C Waste Collection,Jun,2
A&C Waste Collection,Jul,1
A&C Waste Collection,Sep,2
A&C Waste Collection,Nov,1
A&C Waste Collection,Dec,1
A&I Palletts LLC,Dec,2
A&J Trash Service,Jan,1
A&J Trash Service,Feb,1
A&J Trash Service,Mar,1
A&J Trash Service,Apr,1
A&J Trash Service,May,1
A&J Trash Service,Jun,1
A&J Trash Service,Aug,2
A&J Trash Service,Sep,3
A&J Trash Service,Oct,1
A&J Trash Service,Nov,1
"A&L Compaction, LLC",May,1
"A&L Compaction, LLC",Nov,1
"A&S Metals, Inc",Feb,2
"A&S Metals, Inc",Mar,2
"A&S Metals, Inc",Nov,1
"A&S Metals, Inc",Dec,1
"A&W Iron & Metal, Inc",Jan,2
"A&W Iron & Metal, Inc",Feb,1
"A&W Iron & Metal, Inc",Mar,1
"A&W Iron & Metal, Inc",Apr,4
"A&W Iron & Metal, Inc",May,3
"A&W Iron & Metal, Inc",Jul,3
"A&W Iron & Metal, Inc",Aug,2
"A&W Iron & Metal, Inc",Sep,2
"A&W Iron & Metal, Inc",Oct,1
"A&W Iron & Metal, Inc",Dec,1
"A-rrow Sanitation Service, Inc",Feb,1
"A-rrow Sanitation Service, Inc",Jun,1
"A-rrow Sanitation Service, Inc",Jul,1
"A-rrow Sanitation Service, Inc",Oct,1
A1 Brantley,Sep,1
A1 Brantley,Nov,1
A1 DISPOSAL-UTAH,Jan,4
A1 DISPOSAL-UTAH,Feb,3
A1 DISPOSAL-UTAH,Mar,4
A1 DISPOSAL-UTAH,Apr,4
A1 DISPOSAL-UTAH,May,5
A1 DISPOSAL-UTAH,Jun,3
A1 DISPOSAL-UTAH,Jul,2
A1 DISPOSAL-UTAH,Aug,3
A1 DISPOSAL-UTAH,Sep,3
A1 DISPOSAL-UTAH,Oct,2
A1 DISPOSAL-UTAH,Nov,4
A1 DISPOSAL-UTAH,Dec,6
A1 Disposal,Jan,3
A1 Disposal,Feb,1
A1 Disposal,Mar,1
A1 Disposal,Apr,1
A1 Disposal,May,2
A1 Disposal,Jun,1
A1 Disposal,Jul,1
A1 Disposal,Sep,2
A1 Disposal,Oct,3
A1 Disposal,Nov,1
A1 Disposal,Dec,2
A1 INDUSTRIAL MAINTENANCE,Mar,1
A1 INDUSTRIAL MAINTENANCE,Apr,1
A1 INDUSTRIAL MAINTENANCE,Aug,1
A1 INDUSTRIAL MAINTENANCE,Oct,2
A1 INDUSTRIAL MAINTENANCE,Nov,1
A1 Little John Inc,Jun,1
A1 Little John Inc,Jul,2
A1 Little John Inc,Aug,1
A1 Little John Inc,Sep,1
A1 Little John Inc,Oct,1
A1 Little John Inc,Nov,1
A1 Little John Inc,Dec,1
A1 Porta Potty Llc,Jan,1
A1 Porta Potty Llc,Feb,1
A1 Porta Potty Llc,Mar,1
A1 Porta Potty Llc,Apr,1
A1 Porta Potty Llc,May,1
A1 Porta Potty Llc,Jun,1
A1 Porta Potty Llc,Jul,1
A1 Porta Potty Llc,Aug,1
A1 Porta Potty Llc,Sep,1
A1 Porta Potty Llc,Oct,3
A1 Porta Potty Llc,Nov,1
A1 Transfer & Recycling Inc,Jan,5
A1 Transfer & Recycling Inc,Feb,5
A1 Transfer & Recycling Inc,Mar,4
A1 Transfer & Recycling Inc,Apr,6
A1 Transfer & Recycling Inc,May,4
A1 Transfer & Recycling Inc,Jun,5
A1 Transfer & Recycling Inc,Jul,6
A1 Transfer & Recycling Inc,Aug,3
A1 Transfer & Recycling Inc,Sep,3
"A1 Waste, LLC",Jan,1
"A1 Waste, LLC",Mar,1
"A1 Waste, LLC",Apr,1
"A1 Waste, LLC",Sep,1
"A1 Waste, LLC",Oct,1
"A1 Waste, LLC",Nov,1
AAA Disposal,Jan,5
AAA Disposal,Feb,5
AAA Disposal,Mar,12
AAA Disposal,Apr,5
AAA Disposal,May,3
AAA Disposal,Jun,8
AAA Disposal,Jul,4
AAA Disposal,Aug,4
AAA Disposal,Sep,3
AAA Disposal,Oct,4
AAA Disposal,Nov,2
AAA Disposal,Dec,5
AAA Rubbish Inc,Jan,1
AAA Rubbish Inc,Mar,2
AAA Rubbish Inc,Apr,1
AAA Rubbish Inc,May,1
AAA Rubbish Inc,Jun,1
AAA Rubbish Inc,Jul,1
AAA Rubbish Inc,Aug,1
AAA Rubbish Inc,Sep,1
AAA Rubbish Inc,Oct,1
AAA Rubbish Inc,Nov,1
AAA Trash Service,Jan,2
AAA Trash Service,Mar,3
AAA Trash Service,Apr,6
AAA Trash Service,May,1
AAA Trash Service,Jun,4
AAA Trash Service,Jul,7
AAA Trash Service,Aug,4
AAA Trash Service,Sep,7
AAA Trash Service,Oct,6
AAA Trash Service,Nov,4
AAA Trash Service,Dec,3
"AB-8 Waste Solutions, LLC",May,4
"AB-8 Waste Solutions, LLC",Jun,2
"AB-8 Waste Solutions, LLC",Jul,2
"AB-8 Waste Solutions, LLC",Aug,2
"AB-8 Waste Solutions, LLC",Sep,2
"AB-8 Waste Solutions, LLC",Oct,2
"AB-8 Waste Solutions, LLC",Nov,2
ABC Disposal Systems,Jan,12
ABC Disposal Systems,Feb,12
ABC Disposal Systems,Mar,12
ABC Disposal Systems,Apr,11
ABC Disposal Systems,May,13
ABC Disposal Systems,Jun,11
ABC Disposal Systems,Jul,1
ABC Disposal Systems,Aug,11
ABC Disposal Systems,Sep,12
ABC Disposal Systems,Oct,1
ABC Disposal Systems,Nov,10
ABC Disposal Systems,Dec,1
ABC Waste Of Savannah,Jan,9
ABC Waste Of Savannah,Feb,8
ABC Waste Of Savannah,Mar,8
ABC Waste Of Savannah,Apr,8
ABC Waste Of Savannah,May,8
ABC Waste Of Savannah,Jun,8
ABC Waste Of Savannah,Jul,12
ABC Waste Of Savannah,Aug,9
ABC Waste Of Savannah,Sep,7
ABC Waste Of Savannah,Oct,12
ABC Waste Of Savannah,Nov,12
ABC Waste Of Savannah,Dec,10
ABS Sanitation,Apr,2
ABS Sanitation,May,1
ABS Sanitation,Jul,3
ABS Sanitation,Sep,1
ABS Sanitation,Oct,1
ABS Sanitation,Nov,2
ABSOLUTE WASTE REMOVAL,Jan,4
ABSOLUTE WASTE REMOVAL,Feb,5
ABSOLUTE WASTE REMOVAL,Mar,5
ABSOLUTE WASTE REMOVAL,Apr,6
ABSOLUTE WASTE REMOVAL,May,5
ABSOLUTE WASTE REMOVAL,Jun,6
ABSOLUTE WASTE REMOVAL,Jul,4
ABSOLUTE WASTE REMOVAL,Aug,7
ABSOLUTE WASTE REMOVAL,Sep,6
ABSOLUTE WASTE REMOVAL,Oct,5
ABSOLUTE WASTE REMOVAL,Nov,8
ABSOLUTE WASTE REMOVAL,Dec,6
ACE RECYCLING AND DISPOSAL,Jan,21
